date,value
2014-08-27 02:46:44 +0100, 2
2014-08-28 02:45:05 +0100, 154
2014-08-29 02:51:40 +0100, 155
2014-08-30 02:41:15 +0100, 154
2014-08-31 02:41:17 +0100, 154
2014-09-01 02:41:06 +0100, 153
2014-09-02 02:56:00 +0100, 158
2014-09-03 02:53:02 +0100, 11
2014-09-04 03:07:51 +0100, 12
2014-09-05 02:52:34 +0100, 3
2014-09-06 02:44:37 +0100, 244
2014-09-07 02:41:36 +0100, 243
2014-09-08 03:36:30 +0100, 292
2014-09-09 02:50:03 +0100, 279
2014-09-10 02:52:11 +0100, 308
2014-09-11 03:39:00 +0100, 335
2014-09-12 02:43:27 +0100, 262
2014-09-13 02:44:34 +0100, 259
2014-09-14 02:45:22 +0100, 269
2014-09-15 02:50:40 +0100, 269
2014-09-16 02:50:39 +0100, 270
2014-09-17 02:50:07 +0100, 270
2014-09-18 02:51:44 +0100, 269
2014-09-19 02:49:42 +0100, 268
2014-09-20 02:42:17 +0100, 5
2014-09-21 02:40:23 +0100, 5
2014-09-22 02:49:58 +0100, 5
2014-09-23 02:40:57 +0100, 5
2014-09-24 02:43:44 +0100, 5
2014-09-25 02:54:56 +0100, 5
2014-09-26 02:51:28 +0100, 9
2014-09-27 02:41:36 +0100, 5
2014-09-28 02:38:51 +0100, 9
2014-09-29 02:48:54 +0100, 5
2014-09-30 02:54:33 +0100, 5
2014-10-01 02:49:10 +0100, 5
2014-10-02 02:40:38 +0100, 12
2014-10-03 02:49:13 +0100, 8
2014-10-04 02:39:13 +0100, 8
2014-10-05 02:38:23 +0100, 8
2014-10-06 02:53:32 +0100, 12
2014-10-07 02:54:38 +0100, 8
2014-10-08 02:36:25 +0100, 8
2014-10-09 03:44:15 +0200, 9
2014-10-10 03:40:45 +0200, 7
2014-10-11 03:50:52 +0200, 7
2014-10-12 03:31:40 +0200, 8
2014-10-13 03:34:37 +0200, 11
2014-10-14 03:41:54 +0200, 17
2014-10-15 04:00:20 +0200, 10
2014-10-16 02:38:40 +0100, 11
2014-10-17 02:44:19 +0100, 10
2014-10-18 02:43:35 +0100, 11
2014-10-19 02:34:44 +0100, 11
2014-10-20 02:37:28 +0100, 11
2014-10-21 02:39:18 +0100, 34
2014-10-22 03:00:19 +0100, 21
2014-10-23 02:36:32 +0100, 11
2014-10-24 02:36:14 +0100, 11
2014-10-25 02:32:14 +0100, 12
2014-10-26 01:29:49 +0000, 12
2014-10-27 02:53:37 +0000, 12
2014-10-28 02:34:55 +0000, 487
2014-10-29 03:06:21 +0000, 14
2014-10-30 02:47:00 +0000, 15
2014-10-31 02:35:28 +0000, 15
2014-11-01 02:28:04 +0000, 16
2014-11-02 02:28:12 +0000, 16
2014-11-03 02:31:27 +0000, 16
2014-11-04 02:34:28 +0000, 18
2014-11-05 02:49:07 +0000, 21
2014-11-06 02:58:06 +0000, 23
2014-11-07 02:44:44 +0000, 20
2014-11-08 02:31:36 +0000, 20
2014-11-09 02:29:12 +0000, 20
2014-11-10 02:36:13 +0000, 21
2014-11-11 02:39:19 +0000, 18
2014-11-12 02:38:45 +0000, 18
2014-11-13 02:43:02 +0000, 22
2014-11-14 02:35:32 +0000, 20
2014-11-15 02:29:42 +0000, 23
2014-11-16 02:30:25 +0000, 23
2014-11-17 02:43:31 +0000, 23
2014-11-18 02:39:54 +0000, 18
2014-11-19 02:45:23 +0000, 17
2014-11-20 02:43:20 +0000, 18
2014-11-21 02:34:14 +0000, 17
2014-11-22 02:32:13 +0000, 17
2014-11-23 02:36:11 +0000, 17
2014-11-24 02:26:49 +0000, 17
2014-11-25 02:39:07 +0000, 17
2014-11-26 02:50:32 +0000, 23
2014-11-27 02:36:27 +0000, 23
2014-11-28 02:34:16 +0000, 23
2014-11-29 02:29:49 +0000, 22
2014-11-30 02:32:21 +0000, 22
2014-12-01 03:23:13 +0000, 88
2014-12-02 02:34:40 +0000, 22
2014-12-03 02:37:12 +0000, 50
2014-12-04 02:38:28 +0000, 22
2014-12-05 02:38:24 +0000, 22
2014-12-06 02:31:45 +0000, 22
2014-12-07 02:27:30 +0000, 22
2014-12-08 02:43:51 +0000, 23
2014-12-09 02:38:58 +0000, 22
2014-12-10 03:07:47 +0000, 22
2014-12-11 03:13:56 +0000, 88
2014-12-12 02:39:39 +0000, 22
2014-12-13 02:28:09 +0000, 23
2014-12-14 02:26:59 +0000, 22
2014-12-15 02:40:40 +0000, 22
2014-12-16 02:34:52 +0000, 22
2014-12-17 02:37:35 +0000, 22
2014-12-18 02:38:41 +0000, 23
2014-12-19 02:40:54 +0000, 170
2014-12-20 02:29:44 +0000, 185
2014-12-21 02:06:44 +0000, 21
2014-12-22 02:07:27 +0000, 21
2014-12-23 02:06:01 +0000, 20
2014-12-24 02:08:49 +0000, 103
2014-12-25 06:45:50 +0000, 151
2014-12-26 02:14:57 +0000, 19
2014-12-27 02:10:02 +0000, 19
2014-12-28 02:09:46 +0000, 20
2014-12-29 02:05:25 +0000, 19
2014-12-30 02:09:00 +0000, 152
2014-12-31 02:22:33 +0000, 15
2015-01-01 02:03:22 +0000, 102
2015-01-02 02:03:41 +0000, 99
2015-01-03 02:10:09 +0000, 99
2015-01-04 02:06:28 +0000, 99
2015-01-05 02:11:44 +0000, 99
2015-01-06 02:23:51 +0000, 96
2015-01-07 02:21:49 +0000, 17
2015-01-08 02:13:40 +0000, 16
2015-01-09 02:17:37 +0000, 15
2015-01-10 02:06:31 +0000, 15
2015-01-11 02:08:28 +0000, 15
2015-01-12 02:06:48 +0000, 149
2015-01-13 02:24:11 +0000, 15
2015-01-14 02:22:34 +0000, 25
2015-01-15 02:15:13 +0000, 16
2015-01-16 02:42:35 +0000, 16
2015-01-17 02:21:38 +0000, 16
2015-01-18 02:21:11 +0000, 15
2015-01-19 02:26:24 +0000, 23
2015-01-20 02:27:07 +0000, 15
2015-01-21 02:26:17 +0000, 15
2015-01-22 02:22:27 +0000, 19
2015-01-23 02:26:19 +0000, 29
2015-01-24 02:19:42 +0000, 19
2015-01-25 02:17:49 +0000, 18
2015-01-26 02:21:13 +0000, 18
2015-01-27 02:36:34 +0000, 19
2015-01-28 02:28:50 +0000, 18
2015-01-29 02:32:51 +0000, 17
2015-01-30 04:36:54 +0000, 181
2015-01-31 02:17:08 +0000, 159
